baseline
round 1: 1.0012517658167277
round 2: 0.7480327551486383
round 3: 0.6284810722424733
round 4: 0.6955035812317187
round 5: 0.664977992469711
round 6: 0.6643133718785041
round 7: 0.6770715400912708
round 8: 0.5078719935353072
round 9: 0.5678596090481063
round 10: 0.5100626439635642
round 11: 0.4696987712335202
round 12: 0.5439978512863816
round 13: 0.5131189453319858
round 14: 0.4882792586349753
round 15: 0.5116207842297705


custom_strategy_accuracy_optimized
round 0: 2.3001513481140137
round 1: 1.0392489433288574
round 2: 0.7813619375228882
round 3: 0.6382704973220825
round 4: 0.5981373190879822
round 5: 0.5794752240180969
round 6: 0.5607585310935974
round 7: 0.5415304899215698
round 8: 0.5257878303527832
round 9: 0.5237053632736206
round 10: 0.5101999640464783
round 11: 0.5189547538757324
round 12: 0.5210021138191223
round 13: 0.48742184042930603
round 14: 0.49464696645736694
round 15: 0.5028288960456848

custom_strategy_loss_optimized
round 0: 2.304025650024414
round 1: 1.1160261631011963
round 2: 0.7063609957695007
round 3: 0.6655240058898926
round 4: 0.6368352770805359
round 5: 0.6058114767074585
round 6: 0.6410609483718872
round 7: 0.5972894430160522
round 8: 0.577843964099884
round 9: 0.5504569411277771
round 10: 0.5148543119430542
round 11: 0.5413147211074829
round 12: 0.546492338180542
round 13: 0.548754096031189
round 14: 0.495495468378067
round 15: 0.49043574929237366


50 node
round 1: 1.271625989560838
round 2: 0.8732210852290526
round 3: 0.8399434209816367
round 4: 0.7487881837938233
round 5: 0.6843343607788751
round 6: 0.6832493518093221

