STATISTIC,STATISTIC Label,TLIST(A1),Year,C02293V02763,Direction,C03042V03675,Route,UNIT,VALUE
ASA02,Air and Sea Travel,2016,2016,1,Arrivals,-,All routes of travel,Thousand,17532.6
ASA02,Air and Sea Travel,2016,2016,1,Arrivals,01,Cross channel,Thousand,7497.6
ASA02,Air and Sea Travel,2016,2016,1,Arrivals,02,Continental Europe,Thousand,8000.3
ASA02,Air and Sea Travel,2016,2016,1,Arrivals,03,Transatlantic,Thousand,1553.3
ASA02,Air and Sea Travel,2016,2016,1,Arrivals,04,Other,Thousand,481.4
ASA02,Air and Sea Travel,2016,2016,2,Departures,-,All routes of travel,Thousand,17608.1
ASA02,Air and Sea Travel,2016,2016,2,Departures,01,Cross channel,Thousand,7531.9
ASA02,Air and Sea Travel,2016,2016,2,Departures,02,Continental Europe,Thousand,8017.6
ASA02,Air and Sea Travel,2016,2016,2,Departures,03,Transatlantic,Thousand,1577.8
ASA02,Air and Sea Travel,2016,2016,2,Departures,04,Other,Thousand,480.9
ASA02,Air and Sea Travel,2017,2017,1,Arrivals,-,All routes of travel,Thousand,18399.4
ASA02,Air and Sea Travel,2017,2017,1,Arrivals,01,Cross channel,Thousand,7562
ASA02,Air and Sea Travel,2017,2017,1,Arrivals,02,Continental Europe,Thousand,8487.5
ASA02,Air and Sea Travel,2017,2017,1,Arrivals,03,Transatlantic,Thousand,1832.8
ASA02,Air and Sea Travel,2017,2017,1,Arrivals,04,Other,Thousand,517.1
ASA02,Air and Sea Travel,2017,2017,2,Departures,-,All routes of travel,Thousand,18448.8
ASA02,Air and Sea Travel,2017,2017,2,Departures,01,Cross channel,Thousand,7559.2
ASA02,Air and Sea Travel,2017,2017,2,Departures,02,Continental Europe,Thousand,8501.1
ASA02,Air and Sea Travel,2017,2017,2,Departures,03,Transatlantic,Thousand,1866.5
ASA02,Air and Sea Travel,2017,2017,2,Departures,04,Other,Thousand,521.9
ASA02,Air and Sea Travel,2018,2018,1,Arrivals,-,All routes of travel,Thousand,19395.9
ASA02,Air and Sea Travel,2018,2018,1,Arrivals,01,Cross channel,Thousand,7606.5
ASA02,Air and Sea Travel,2018,2018,1,Arrivals,02,Continental Europe,Thousand,9066.7
ASA02,Air and Sea Travel,2018,2018,1,Arrivals,03,Transatlantic,Thousand,2110
ASA02,Air and Sea Travel,2018,2018,1,Arrivals,04,Other,Thousand,612.7
ASA02,Air and Sea Travel,2018,2018,2,Departures,-,All routes of travel,Thousand,19456.3
ASA02,Air and Sea Travel,2018,2018,2,Departures,01,Cross channel,Thousand,7599.3
ASA02,Air and Sea Travel,2018,2018,2,Departures,02,Continental Europe,Thousand,9106
